câu hỏi,đáp án a,đáp án b,đáp án c,đáp án d,đáp án đúng
Đau đầu migraine có đặc điểm nào sau đây:,Đau một bên đầu,Đau như búa bổ,"Kèm buồn nôn, sợ ánh sáng",Cả a và c,d
Triệu chứng nào sau đây gợi ý đột quỵ nhồi máu não:,Liệt nửa người đột ngột,Nói ngọng,Méo miệng,Tất cả đều đúng,d
Bệnh Parkinson có triệu chứng đặc trưng nào:,Run khi nghỉ,Cứng cơ,Chậm vận động,Tất cả đều đúng,d
Triệu chứng nào sau đây không phải của viêm màng não:,Đau đầu dữ dội,Sốt cao,Cứng gáy,Liệt nửa người,d
Động kinh có biểu hiện nào sau đây:,Co giật toàn thân,Mất ý thức,Ngã ra,Tất cả đều đúng,d
Dấu hiệu Babinski dương tính gặp trong tổn thương:,Đường vận động trung ương,Đường vận động ngoại vi,Tiểu não,Thần kinh ngoại biên,a
Bệnh lý nào sau đây gây run có chủ đích:,Bệnh Parkinson,Cường giáp,Run sinh lý,Xơ cứng rải rác,d
Triệu chứng nào sau đây gợi ý tăng áp lực nội sọ:,Đau đầu buổi sáng,Nôn phun,Phù gai thị,Tất cả đều đúng,d
Nguyên nhân thường gặp nhất của đột quỵ não là:,Nhồi máu não,Xuất huyết não,Vỡ phình mạch,Tắc mạch não,a
Dấu hiệu nào sau đây giúp phân biệt liệt trung ương và liệt ngoại vi:,Phản xạ gân xương,Trương lực cơ,Dấu hiệu Babinski,Tất cả đều đúng,d
